118,CHE F414,Transport Phenomena,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=148
119,CHE G523,Mathematical Methods In Chemical Engineering,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=149
120,CHE G529,Pulp & Paper Technology,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=151
121,CHE G617,Petroleum Refinery Engineering,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=153
122,CHE G622,Advanced Chemical Engineering Thermo,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=155
123,CHEM F111,General Chemistry,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=165
124,CHEM F211,Physical Chemistry I,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=173
125,CHEM F212,Organic Chemistry,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=175
126,CHEM F213,Physical Chemistry II,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=177
127,CHEM F214,Inorganic Chemistry I,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=179
128,CHEM F311,Organic Chemistry III,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=181
129,CHEM F312,Physical Chemistry IV,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=183
130,CHEM F313,Instrumental Methods Of Analysis,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=185
131,CHEM F326,Solid State Chemistry,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=187
132,CHEM F327,Electrochemistry Fundamentals & Applications,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=188
133,CHEM F336,Nanochemistry,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=189
134,CHEM F337,Green Chemistry & Catalysis,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=191
135,MATH F111,Mathematics I,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=367
136,MATH F211,Mathematics III,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=385
137,MATH F212,Optimization,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=402
138,MATH F213,Discrete Mathematics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=405
139,MATH F214,Elementary Real Analysis,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=407
140,MATH F215,Algebra I,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=409
141,MATH F231,Number Theory,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=411
142,MATH F311,Introduction To Topology,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=412
143,MATH F312,Ordinary Differential Equations,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=414
144,MATH F313,Numerical Analysis,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=416
145,MATH F441,Discrete Maths Structures,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=418
146,ME F110,Workshop Practice,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=419
147,ME F311,Heat Transfer,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=437
148,ME F312,Advanced Mechanics Of Solids,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=441
149,ME F313,Production Techniques II,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=444
150,ME F432,Computer Aided Manufacturing,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=448
151,ME F443,Quality Control Assurance & Reliability,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=449
152,ME F461,Refrigeration & Airconditioning,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=450
153,ME F483,Wind Energy,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=451
154,ME G512,Finite Element Method,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=454
155,ME G515,Computational Fluid Dynamics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=457
156,ME G533,Conduction & Radiation Heat Transfer,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=459
157,ME G537,Cryogenic Engineering,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=460
158,ME G621,Fluid Dynamics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=461
159,ME G641,Theory Of Elasticity & Plasticity,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=463
160,ME/MF F211,Mechanics Of Solids,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=424
161,ME/MF F212,Fluid Mechanics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=428
162,ME/MF F213,Materials Science & Engineering,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=430
163,ME/MF F214,Applied Thermodynamics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=432
164,ME/MF F215,Mechanical Engineering Lab,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=435
165,MEL G624,Advanced VLSI Architectures,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=467
166,MF F311,Mechatronics & Automation,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=469
167,MF F312,Tool & Fixture Design,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=472
168,MF F313,Metal Forming & Machine,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=474
169,MF F418,Lean Manufacturing,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=477
170,PHA F211,Pharmaceutical Analysis,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=478
171,PHA F215,Introduction To Molecular Bio & Immunology,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=485
172,PHA F312,Medicinal Chemistry I,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=490
173,PHA F313,Instrumental Methods Of Analysis,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=493
174,PHA G542,Advanced Physical Pharma,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=503
175,PHA G543,Clinical Research,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=505
176,PHA G612,Pharm Kinet & Clinic Pha,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=507
177,PHY F111,Mechanical Oscillations & Waves,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=511
178,PHY F112,General Physics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=523
179,PHY F211,Classical Mechanics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=525
180,PHY F215,Introduction To Astronomy & Astrophysics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=530
181,PHY F312,Statistical Mechanics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=533
182,PHY F313,Computational Physics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=535
183,PHY F413,Particle Physics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=538
